iter	Passed	Remaining
629	5793	3402
630	5801	3392
631	5810	3383
632	5819	3373
633	5827	3364
634	5836	3355
635	5845	3345
636	5853	3335
637	5861	3325
638	5870	3316
639	5879	3307
640	5892	3300
641	5905	3292
642	5916	3284
643	5926	3276
644	5936	3267
645	5945	3258
646	5955	3249
647	5964	3240
648	5974	3231
649	5984	3222
650	5994	3213
651	6004	3205
652	6014	3196
653	6024	3187
654	6033	3177
655	6042	3168
656	6051	3159
657	6060	3149
658	6069	3140
659	6078	3131
660	6086	3121
661	6094	3111
662	6103	3102
663	6111	3092
664	6120	3083
665	6129	3073
666	6139	3065
667	6149	3056
668	6159	3047
669	6169	3038
670	6179	3029
671	6188	3020
672	6197	3011
673	6205	3001
674	6214	2992
675	6223	2982
676	6231	2973
677	6241	2964
678	6251	2955
679	6261	2946
680	6271	2937
681	6281	2928
682	6290	2919
683	6299	2910
684	6308	2900
685	6316	2891
686	6326	2882
687	6335	2873
688	6345	2864
689	6355	2855
690	6364	2846
691	6372	2836
692	6381	2827
693	6391	2818
694	6400	2808
695	6410	2799
696	6419	2790
697	6427	2781
698	6437	2772
699	6447	2763
700	6457	2754
701	6466	2745
702	6476	2735
703	6484	2726
704	6493	2717
705	6503	2708
706	6512	2698
707	6521	2689
708	6531	2680
709	6541	2671
710	6550	2662
711	6558	2652
712	6567	2643
713	6575	2634
714	6585	2624
715	6593	2615
716	6604	2606
717	6613	2597
718	6622	2588
719	6632	2579
720	6640	2569
721	6649	2560
722	6658	2551
723	6666	2541
724	6675	2532
725	6685	2523
726	6694	2513
727	6704	2504
728	6713	2495
729	6722	2486
730	6732	2477
731	6741	2468
732	6750	2458
733	6759	2449
734	6768	2440
735	6776	2430
736	6795	2425
737	6807	2416
738	6816	2407
739	6826	2398
740	6835	2389
741	6844	2379
742	6853	2370
743	6862	2361
744	6871	2352
745	6881	2342
746	6889	2333
747	6899	2324
748	6908	2314
749	6916	2305
750	6925	2296
751	6935	2287
752	6945	2278
753	6954	2269
754	6963	2259
755	6973	2250
756	6980	2240
757	6989	2231
758	6998	2222
759	7007	2212
760	7015	2203
761	7024	2193
762	7034	2184
763	7044	2175
764	7053	2166
765	7062	2157
766	7070	2148
767	7079	2138
768	7088	2129
769	7095	2119
770	7105	2110
771	7113	2100
772	7123	2091
773	7131	2082
774	7140	2073
775	7150	2063
776	7158	2054
777	7168	2045
778	7176	2035
779	7185	2026
780	7199	2018
781	7210	2010
782	7221	2001
783	7229	1991
784	7239	1982
785	7248	1973
786	7258	1964
787	7266	1955
788	7276	1945
789	7285	1936
790	7294	1927
791	7304	1918
792	7313	1909
793	7322	1899
794	7331	1890
795	7341	1881
796	7350	1872
797	7358	1862
798	7367	1853
799	7376	1844
800	7386	1835
801	7395	1825
802	7403	1816
803	7412	1807
804	7421	1797
805	7430	1788
806	7439	1779
807	7448	1769
808	7457	1760
809	7465	1751
810	7474	1741
811	7483	1732
812	7491	1723
813	7499	1713
814	7508	1704
815	7517	1695
816	7526	1685
817	7536	1676
818	7546	1667
819	7556	1658
820	7564	1649
821	7573	1639
822	7581	1630
823	7590	1621
824	7598	1611
825	7607	1602
826	7615	1593
827	7624	1583
828	7632	1574
829	7641	1565
830	7651	1555
831	7659	1546
832	7668	1537
833	7678	1528
834	7688	1519
835	7697	1509
836	7706	1500
837	7715	1491
838	7724	1482
839	7733	1473
840	7740	1463
841	7749	1454
842	7757	1444
843	7766	1435
844	7776	1426
845	7784	1417
846	7793	1407
847	7802	1398
848	7812	1389
849	7820	1380
850	7828	1370
851	7836	1361
852	7845	1352
853	7854	1342
854	7862	1333
855	7871	1324
856	7879	1314
857	7888	1305
858	7898	1296
859	7907	1287
860	7915	1277
861	7926	1268
862	7935	1259
863	7946	1250
864	7956	1241
865	7966	1232
866	7977	1223
867	7988	1214
868	7997	1205
869	8006	1196
870	8015	1187
871	8024	1177
872	8032	1168
873	8042	1159
874	8052	1150
875	8061	1141
876	8070	1131
877	8079	1122
878	8088	1113
879	8097	1104
880	8107	1095
881	8116	1085
882	8124	1076
883	8133	1067
884	8142	1058
885	8150	1048
886	8158	1039
887	8167	1030
888	8176	1020
889	8185	1011
890	8194	1002
891	8204	993
892	8213	984
893	8224	975
894	8232	965
895	8241	956
896	8250	947
897	8259	938
898	8269	929
899	8278	919
900	8287	910
901	8296	901
902	8305	892
903	8314	882
904	8323	873
905	8332	864
906	8341	855
907	8350	846
908	8359	836
909	8368	827
910	8377	818
911	8386	809
912	8395	799
913	8405	790
914	8415	781
915	8424	772
916	8434	763
917	8443	754
918	8451	744
919	8460	735
920	8469	726
921	8479	717
922	8493	708
923	8507	699
924	8519	690
925	8531	681
926	8542	672
927	8552	663
928	8561	654
929	8571	645
930	8581	636
931	8590	626
932	8598	617
933	8608	608
934	8617	599
935	8626	589
936	8635	580
937	8644	571
938	8652	562
939	8661	552
940	8671	543
941	8679	534
942	8689	525
943	8698	515
944	8706	506
945	8715	497
946	8723	488
947	8732	479
948	8741	469
949	8752	460
950	8762	451
951	8771	442
952	8779	432
953	8787	423
954	8795	414
955	8804	405
956	8813	396
957	8821	386
958	8830	377
959	8839	368
960	8848	359
961	8857	349
962	8866	340
963	8874	331
964	8883	322
965	8893	313
966	8902	303
967	8910	294
968	8919	285
969	8927	276
970	8935	266
971	8944	257
972	8953	248
973	8962	239
974	8972	230
975	8980	220
976	8989	211
977	8998	202
978	9006	193
979	9016	184
980	9025	174
981	9034	165
982	9043	156
983	9053	147
984	9063	138
985	9072	128
986	9081	119
987	9089	110
988	9098	101
989	9106	91
990	9116	82
991	9124	73
992	9133	64
993	9141	55
994	9150	45
995	9158	36
996	9167	27
997	9176	18
998	9185	9
999	9194	0
