iter	Passed	Remaining
289	1651	4042
290	1656	4035
291	1661	4029
292	1667	4023
293	1672	4017
294	1678	4011
295	1683	4004
296	1689	3999
297	1695	3993
298	1701	3988
299	1706	3982
300	1711	3975
301	1717	3969
302	1722	3963
303	1728	3956
304	1733	3951
305	1739	3945
306	1745	3939
307	1750	3932
308	1755	3926
309	1760	3919
310	1766	3913
311	1771	3906
312	1776	3899
313	1781	3892
314	1787	3886
315	1792	3879
316	1797	3873
317	1802	3865
318	1807	3859
319	1813	3853
320	1818	3847
321	1824	3840
322	1829	3834
323	1835	3829
324	1840	3823
325	1846	3816
326	1851	3810
327	1856	3804
328	1862	3798
329	1867	3792
330	1873	3786
331	1878	3780
332	1884	3774
333	1889	3768
334	1895	3761
335	1900	3755
336	1905	3748
337	1911	3743
338	1916	3737
339	1922	3731
340	1927	3725
341	1932	3718
342	1938	3712
343	1943	3706
344	1948	3700
345	1954	3693
346	1959	3687
347	1964	3681
348	1970	3675
349	1975	3668
350	1980	3662
351	1986	3656
352	1991	3650
353	1996	3644
354	2002	3637
355	2007	3631
356	2013	3625
357	2018	3620
358	2024	3615
359	2030	3610
360	2036	3604
361	2041	3598
362	2047	3593
363	2053	3587
364	2058	3581
365	2063	3575
366	2069	3569
367	2075	3563
368	2080	3557
369	2085	3551
370	2090	3545
371	2096	3539
372	2101	3533
373	2107	3527
374	2112	3521
375	2118	3515
376	2124	3510
377	2129	3504
378	2135	3498
379	2140	3492
380	2145	3486
381	2150	3479
382	2156	3473
383	2161	3467
384	2166	3461
385	2172	3455
386	2178	3450
387	2183	3444
388	2188	3438
389	2194	3432
390	2200	3426
391	2205	3420
392	2210	3414
393	2216	3409
394	2222	3403
395	2227	3398
396	2233	3392
397	2238	3386
398	2244	3380
399	2249	3374
400	2254	3368
401	2260	3362
402	2266	3356
403	2271	3350
404	2276	3344
405	2282	3338
406	2287	3332
407	2292	3327
408	2298	3321
409	2304	3315
410	2309	3309
411	2314	3303
412	2320	3298
413	2325	3292
414	2331	3286
415	2336	3280
416	2342	3274
417	2347	3269
418	2353	3263
419	2358	3257
